reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R01160,acetyl-CoA:L-histidine N-acetyltransferase; Acetyl-CoA + L-Histidine <=> CoA + N-Acetyl-L-histidine,C00024 + C00135 <=> C00010 + C02997,Acetyl-CoA + L-Histidine <=> CoA + N-Acetyl-L-histidine,['2.3.1.33'],C00024;C00135,C00010;C02997,1.0;1.0,1.0;1.0
R01161,L-histidine:2-oxoglutarate aminotransferase; L-Histidine + 2-Oxoglutarate <=> Imidazol-5-yl-pyruvate + L-Glutamate,C00135 + C00026 <=> C03277 + C00025,L-Histidine + 2-Oxoglutarate <=> Imidazol-5-yl-pyruvate + L-Glutamate,['2.6.1.38'],C00135;C00026,C03277;C00025,1.0;1.0,1.0;1.0
R01163,L-histidinal:NAD+ oxidoreductase; L-Histidinal + H2O + NAD+ <=> L-Histidine + NADH + H+,C01929 + C00001 + C00003 <=> C00135 + C00004 + C00080,L-Histidinal + H2O + NAD+ <=> L-Histidine + NADH + H+,['1.1.1.23'],C01929;C00001;C00003,C00135;C00004;C00080,1.0;1.0;1.0,1.0;1.0;1.0
R01164,L-histidine:beta-alanine ligase (ADP-forming); ATP + L-Histidine + beta-Alanine <=> ADP + Orthophosphate + Carnosine,C00002 + C00135 + C00099 <=> C00008 + C00009 + C00386,ATP + L-Histidine + beta-Alanine <=> ADP + Orthophosphate + Carnosine,['6.3.2.11'],C00002;C00135;C00099,C00008;C00009;C00386,1.0;1.0;1.0,1.0;1.0;1.0
R01166,Nalpha-(beta-alanyl)-L-histidine hydrolase; Carnosine + H2O <=> beta-Alanine + L-Histidine,C00386 + C00001 <=> C00099 + C00135,Carnosine + H2O <=> beta-Alanine + L-Histidine,['3.4.13.18       3.4.13.20'],C00386;C00001,C00099;C00135,1.0;1.0,1.0;1.0
R01167,L-histidine carboxy-lyase (histamine-forming); L-Histidine <=> Histamine + CO2,C00135 <=> C00388 + C00011,L-Histidine <=> Histamine + CO2,['4.1.1.22'],C00135,C00388;C00011,1.0,1.0;1.0
R01168,L-histidine ammonia-lyase (urocanate-forming); L-Histidine <=> Urocanate + Ammonia,C00135 <=> C00785 + C00014,L-Histidine <=> Urocanate + Ammonia,['4.3.1.3'],C00135,C00785;C00014,1.0,1.0;1.0
R01169,S-adenosyl-L-methionine:L-histidine Nalpha-methyltransferase; L-Histidine + 3 S-Adenosyl-L-methionine + H+ <=> Hercynine + 3 S-Adenosyl-L-homocysteine,C00135 + 3 C00019 + C00080 <=> C05575 + 3 C00021,L-Histidine + 3 S-Adenosyl-L-methionine + H+ <=> Hercynine + 3 S-Adenosyl-L-homocysteine,['2.1.1.44'],C00135;C00019;C00080,C05575;C00021,1.0;3.0;1.0,1.0;3.0
R01171,butanoyl-CoA:NAD+ trans-2-oxidoreductase; Butanoyl-CoA + NAD+ <=> Crotonoyl-CoA + NADH + H+,C00136 + C00003 <=> C00877 + C00004 + C00080,Butanoyl-CoA + NAD+ <=> Crotonoyl-CoA + NADH + H+,['1.3.1.44'],C00136;C00003,C00877;C00004;C00080,1.0;1.0,1.0;1.0;1.0
R01172,butanal:NAD+ oxidoreductase (CoA-acylating); Butanal + CoA + NAD+ <=> Butanoyl-CoA + NADH + H+,C01412 + C00010 + C00003 <=> C00136 + C00004 + C00080,Butanal + CoA + NAD+ <=> Butanoyl-CoA + NADH + H+,"['1.2.1.10', '1.2.1.57', '1.2.1.87']",C01412;C00010;C00003,C00136;C00004;C00080,1.0;1.0;1.0,1.0;1.0;1.0
R01173,butanal:NADP+ oxidoreductase (CoA-acylating); Butanal + CoA + NADP+ <=> Butanoyl-CoA + NADPH + H+,C01412 + C00010 + C00006 <=> C00136 + C00005 + C00080,Butanal + CoA + NADP+ <=> Butanoyl-CoA + NADPH + H+,['1.2.1.57'],C01412;C00010;C00006,C00136;C00005;C00080,1.0;1.0;1.0,1.0;1.0;1.0
R01174,butanoyl-CoA:phosphate butanoyltransferase; Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate,C00136 + C00009 <=> C00010 + C02527,Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate,['2.3.1.19'],C00136;C00009,C00010;C02527,1.0;1.0,1.0;1.0
R01175,"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase; Butanoyl-CoA + FAD <=> FADH2 + Crotonoyl-CoA",C00136 + C00016 <=> C01352 + C00877,Butanoyl-CoA + FAD <=> FADH2 + Crotonoyl-CoA,"['1.3.3.6', ' 1.3.8.1', ' 1.3.8.7', ' 1.3.99.-']",C00136;C00016,C01352;C00877,1.0;1.0,1.0;1.0
R01176,butanoate:CoA ligase (AMP-forming); ATP + Butanoic acid + CoA <=> AMP + Diphosphate + Butanoyl-CoA,C00002 + C00246 + C00010 <=> C00020 + C00013 + C00136,ATP + Butanoic acid + CoA <=> AMP + Diphosphate + Butanoyl-CoA,['6.2.1.2'],C00002;C00246;C00010,C00020;C00013;C00136,1.0;1.0;1.0,1.0;1.0;1.0
R01177,butanoyl-CoA:acetyl-CoA C-butanoyltransferase; Acetyl-CoA + Butanoyl-CoA <=> CoA + 3-Oxohexanoyl-CoA,C00024 + C00136 <=> C00010 + C05269,Acetyl-CoA + Butanoyl-CoA <=> CoA + 3-Oxohexanoyl-CoA,"['2.3.1.9', ' 2.3.1.16']",C00024;C00136,C00010;C05269,1.0;1.0,1.0;1.0
R01178,"short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase; Short-chain acyl-CoA + Electron-transferring flavoprotein <=> Short-chain trans-2,3-dehydroacyl-CoA + Reduced electron-transferring flavoprotein",C20675 + C04253 <=> C20676 + C04570,"Short-chain acyl-CoA + Electron-transferring flavoprotein <=> Short-chain trans-2,3-dehydroacyl-CoA + Reduced electron-transferring flavoprotein",['1.3.8.1'],C20675;C04253,C20676;C04570,1.0;1.0,1.0;1.0
R01179,butanoyl-CoA:acetate CoA-transferase; Butanoyl-CoA + Acetate <=> Butanoic acid + Acetyl-CoA,C00136 + C00033 <=> C00246 + C00024,Butanoyl-CoA + Acetate <=> Butanoic acid + Acetyl-CoA,['2.8.3.8'],C00136;C00033,C00246;C00024,1.0;1.0,1.0;1.0
R01180,"butanoyl-CoA:glyoxylate C-butanoyltransferase (thioester-hydrolysing, 1-carboxypropyl-forming); 3-ethylmalate glyoxylate-lyase (CoA-butanoylating); 3-Ethylmalate + CoA <=> Butanoyl-CoA + H2O + Glyoxylate",C01989 + C00010 <=> C00136 + C00001 + C00048,3-Ethylmalate + CoA <=> Butanoyl-CoA + H2O + Glyoxylate,['2.3.3.7'],C01989;C00010,C00136;C00001;C00048,1.0;1.0,1.0;1.0;1.0
R01181,2-methylpropanoyl-CoA CoA-carbonylmutase; 2-Methylpropanoyl-CoA <=> Butanoyl-CoA,C00630 <=> C00136,2-Methylpropanoyl-CoA <=> Butanoyl-CoA,['5.4.99.13'],C00630,C00136,1.0,1.0
R01183,"myo-inositol:NAD+ 2-oxidoreductase; myo-Inositol + NAD+ <=> 2,4,6/3,5-Pentahydroxycyclohexanone + NADH + H+",C00137 + C00003 <=> C00691 + C00004 + C00080,"myo-Inositol + NAD+ <=> 2,4,6/3,5-Pentahydroxycyclohexanone + NADH + H+",['1.1.1.18'],C00137;C00003,C00691;C00004;C00080,1.0;1.0,1.0;1.0;1.0
R01184,myo-inositol:oxygen oxidoreductase; myo-Inositol + Oxygen <=> D-Glucuronate + H2O,C00137 + C00007 <=> C00191 + C00001,myo-Inositol + Oxygen <=> D-Glucuronate + H2O,['1.13.99.1'],C00137;C00007,C00191;C00001,1.0;1.0,1.0;1.0
R01185,1D-myo-inositol 1-phosphate phosphohydrolase; Inositol 1-phosphate + H2O <=> myo-Inositol + Orthophosphate,C01177 + C00001 <=> C00137 + C00009,Inositol 1-phosphate + H2O <=> myo-Inositol + Orthophosphate,['3.1.3.25'],C01177;C00001,C00137;C00009,1.0;1.0,1.0;1.0
R01186,1D-myo-inositol 4-phosphate phosphohydrolase; myo-Inositol 4-phosphate + H2O <=> myo-Inositol + Orthophosphate,C03546 + C00001 <=> C00137 + C00009,myo-Inositol 4-phosphate + H2O <=> myo-Inositol + Orthophosphate,['3.1.3.25'],C03546;C00001,C00137;C00009,1.0;1.0,1.0;1.0
R01187,1D-myo-inositol 3-phosphate phosphohydrolase; 1D-myo-Inositol 3-phosphate + H2O <=> myo-Inositol + Orthophosphate,C04006 + C00001 <=> C00137 + C00009,1D-myo-Inositol 3-phosphate + H2O <=> myo-Inositol + Orthophosphate,['3.1.3.25'],C04006;C00001,C00137;C00009,1.0;1.0,1.0;1.0
R01188,S-adenosyl-L-methionine:1D-myo-inositol 1-O-methyltransferase; S-Adenosyl-L-methionine + myo-Inositol <=> S-Adenosyl-L-homocysteine + D-Bornesitol,C00019 + C00137 <=> C00021 + C03659,S-Adenosyl-L-methionine + myo-Inositol <=> S-Adenosyl-L-homocysteine + D-Bornesitol,['2.1.1.40'],C00019;C00137,C00021;C03659,1.0;1.0,1.0;1.0
R01189,S-adenosyl-L-methionine:1D-myo-inositol 3-O-methyltransferase; S-Adenosyl-L-methionine + myo-Inositol <=> S-Adenosyl-L-homocysteine + L-Bornesitol,C00019 + C00137 <=> C00021 + C03660,S-Adenosyl-L-methionine + myo-Inositol <=> S-Adenosyl-L-homocysteine + L-Bornesitol,['2.1.1.39'],C00019;C00137,C00021;C03660,1.0;1.0,1.0;1.0
R01190,S-adenosyl-L-methionine:1D-myo-inositol 4-methyltransferase; S-Adenosyl-L-methionine + myo-Inositol <=> S-Adenosyl-L-homocysteine + 4-O-Methyl-myo-inositol,C00019 + C00137 <=> C00021 + C06352,S-Adenosyl-L-methionine + myo-Inositol <=> S-Adenosyl-L-homocysteine + 4-O-Methyl-myo-inositol,['2.1.1.129'],C00019;C00137,C00021;C06352,1.0;1.0,1.0;1.0
R01192,UDP-alpha-D-galactose:myo-inositol 3-alpha-D-galactosyltransferase; UDP-galactose:myo-inositol 1-alpha-D-galactosyltransferase; UDP-alpha-D-galactose + myo-Inositol <=> UDP + alpha-D-Galactosyl-(1->3)-1D-myo-inositol,C00052 + C00137 <=> C00015 + C01235,UDP-alpha-D-galactose + myo-Inositol <=> UDP + alpha-D-Galactosyl-(1->3)-1D-myo-inositol,['2.4.1.123'],C00052;C00137,C00015;C01235,1.0;1.0,1.0;1.0
R01193,1-(sn-glycero-3-phospho)-1D-myo-inositol glycerophosphohydrolase; sn-Glycero-3-phospho-1-inositol + H2O <=> myo-Inositol + sn-Glycerol 3-phosphate,C01225 + C00001 <=> C00137 + C00093,sn-Glycero-3-phospho-1-inositol + H2O <=> myo-Inositol + sn-Glycerol 3-phosphate,['3.1.4.44'],C01225;C00001,C00137;C00093,1.0;1.0,1.0;1.0
R01194,3-O-alpha-D-galactosyl-1D-myo-inositol galactohydrolase; 1-alpha-D-galactosyl-myo-inositol galactohydrolase; alpha-D-Galactosyl-(1->3)-1D-myo-inositol + H2O <=> myo-Inositol + D-Galactose,C01235 + C00001 <=> C00137 + C00124,alpha-D-Galactosyl-(1->3)-1D-myo-inositol + H2O <=> myo-Inositol + D-Galactose,['3.2.1.22'],C01235;C00001,C00137;C00124,1.0;1.0,1.0;1.0
R01195,ferredoxin:NADP+ oxidoreductase; 2 Reduced ferredoxin + NADP+ + H+ <=> 2 Oxidized ferredoxin + NADPH,2 C00138 + C00006 + C00080 <=> 2 C00139 + C00005,2 Reduced ferredoxin + NADP+ + H+ <=> 2 Oxidized ferredoxin + NADPH,['1.18.1.2'],C00138;C00006;C00080,C00139;C00005,2.0;1.0;1.0,2.0;1.0
R01196,pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating); 2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA,2 C00138 + C00024 + C00011 + 2 C00080 <=> 2 C00139 + C00022 + C00010,2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA,"['1.2.7.1', ' 1.2.7.11']",C00138;C00024;C00011;C00080,C00139;C00022;C00010,2.0;1.0;1.0;2.0,2.0;1.0;1.0
R01197,2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating); 2 Reduced ferredoxin + Succinyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + 2-Oxoglutarate + CoA,2 C00138 + C00091 + C00011 + 2 C00080 <=> 2 C00139 + C00026 + C00010,2 Reduced ferredoxin + Succinyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + 2-Oxoglutarate + CoA,"['1.2.7.3', ' 1.2.7.11']",C00138;C00091;C00011;C00080,C00139;C00026;C00010,2.0;1.0;1.0;2.0,2.0;1.0;1.0
R01199,2-oxobutanoate:ferredoxin 2-oxidoreductase (CoA-propanoylating); 2 Oxidized ferredoxin + 2-Oxobutanoate + CoA <=> 2 Reduced ferredoxin + Propanoyl-CoA + CO2 + 2 H+,2 C00139 + C00109 + C00010 <=> 2 C00138 + C00100 + C00011 + 2 C00080,2 Oxidized ferredoxin + 2-Oxobutanoate + CoA <=> 2 Reduced ferredoxin + Propanoyl-CoA + CO2 + 2 H+,['1.2.7.1'],C00139;C00109;C00010,C00138;C00100;C00011;C00080,2.0;1.0;1.0,2.0;1.0;1.0;2.0
R01200,N-acetyl-D-glucosamine amidohydrolase; N-Acetyl-D-glucosamine + H2O <=> D-Glucosamine + Acetate,C00140 + C00001 <=> C00329 + C00033,N-Acetyl-D-glucosamine + H2O <=> D-Glucosamine + Acetate,['3.5.1.33'],C00140;C00001,C00329;C00033,1.0;1.0,1.0;1.0
R01201,ATP:N-acetyl-D-glucosamine 6-phosphotransferase; ATP + N-Acetyl-D-glucosamine <=> ADP + N-Acetyl-D-glucosamine 6-phosphate,C00002 + C00140 <=> C00008 + C00357,ATP + N-Acetyl-D-glucosamine <=> ADP + N-Acetyl-D-glucosamine 6-phosphate,['2.7.1.59'],C00002;C00140,C00008;C00357,1.0;1.0,1.0;1.0
R01202,N-acetyl-D-glucosamine:NAD+ 1-oxidoreductase; N-Acetyl-alpha-D-glucosamine + NAD+ + H2O <=> N-Acetyl-D-glucosaminate + NADH + H+,C20328 + C00003 + C00001 <=> C01133 + C00004 + C00080,N-Acetyl-alpha-D-glucosamine + NAD+ + H2O <=> N-Acetyl-D-glucosaminate + NADH + H+,['1.1.1.240'],C20328;C00003;C00001,C01133;C00004;C00080,1.0;1.0;1.0,1.0;1.0;1.0
R01203,N-acetyl-D-glucosamine:oxygen 1-oxidoreductase; N-Acetyl-D-glucosamine + Oxygen + H2O <=> N-Acetyl-D-glucosaminate + Hydrogen peroxide,C00140 + C00007 + C00001 <=> C01133 + C00027,N-Acetyl-D-glucosamine + Oxygen + H2O <=> N-Acetyl-D-glucosaminate + Hydrogen peroxide,['1.1.3.29'],C00140;C00007;C00001,C01133;C00027,1.0;1.0;1.0,1.0;1.0
R01204,acetyl-CoA:D-glucosamine N-acetyltransferase; Acetyl-CoA + D-Glucosamine <=> CoA + N-Acetyl-D-glucosamine,C00024 + C00329 <=> C00010 + C00140,Acetyl-CoA + D-Glucosamine <=> CoA + N-Acetyl-D-glucosamine,['2.3.1.3'],C00024;C00329,C00010;C00140,1.0;1.0,1.0;1.0
R01205,UDP-alpha-D-galactose:N-acetyl-D-glucosamine 4-beta-D-galactosyltransferase; UDP-alpha-D-galactose + N-Acetyl-D-glucosamine <=> UDP + N-Acetyllactosamine,C00052 + C00140 <=> C00015 + C00611,UDP-alpha-D-galactose + N-Acetyl-D-glucosamine <=> UDP + N-Acetyllactosamine,['2.4.1.90'],C00052;C00140,C00015;C00611,1.0;1.0,1.0;1.0
R01206,"[1,4-(N-acetyl-beta-D-glucosaminyl)]n glycanohydrolase; Chitin + H2O <=> N-Acetyl-D-glucosamine + Chitin",C00461 + C00001 <=> C00140 + C00461,Chitin + H2O <=> N-Acetyl-D-glucosamine + Chitin,['3.2.1.14'],C00461;C00001,C00140;C00461,1.0;1.0,1.0;1.0
R01207,N-acetyl-D-glucosamine 2-epimerase; N-Acetyl-D-glucosamine <=> N-Acetyl-D-mannosamine,C00140 <=> C00645,N-Acetyl-D-glucosamine <=> N-Acetyl-D-mannosamine,['5.1.3.8'],C00140,C00645,1.0,1.0
R01209,"2,3-dihydroxy-3-methylbutanoate hydro-lyase; 2,3-Dihydroxy-3-methylbutanoate <=> 3-Methyl-2-oxobutanoic acid + H2O",C04039 <=> C00141 + C00001,"2,3-Dihydroxy-3-methylbutanoate <=> 3-Methyl-2-oxobutanoic acid + H2O",['4.2.1.9'],C04039,C00141;C00001,1.0,1.0;1.0
R01210,3-methyl-2-oxobutanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating); 3-Methyl-2-oxobutanoic acid + CoA + NAD+ <=> 2-Methylpropanoyl-CoA + CO2 + NADH + H+,C00141 + C00010 + C00003 <=> C00630 + C00011 + C00004 + C00080,3-Methyl-2-oxobutanoic acid + CoA + NAD+ <=> 2-Methylpropanoyl-CoA + CO2 + NADH + H+,['1.2.1.25'],C00141;C00010;C00003,C00630;C00011;C00004;C00080,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R01211,"(R)-3,3-dimethylmalate:NAD+ oxidoreductase (decarboxylating); (R)-3,3-Dimethylmalate + NAD+ <=> 3-Methyl-2-oxobutanoic acid + CO2 + NADH + H+",C01088 + C00003 <=> C00141 + C00011 + C00004 + C00080,"(R)-3,3-Dimethylmalate + NAD+ <=> 3-Methyl-2-oxobutanoic acid + CO2 + NADH + H+",['1.1.1.84'],C01088;C00003,C00141;C00011;C00004;C00080,1.0;1.0,1.0;1.0;1.0;1.0
R01212,L-valine:NADP+ oxidoreductase (deaminating); L-Valine + NADP+ + H2O <=> 3-Methyl-2-oxobutanoic acid + Ammonia + NADPH + H+,C00183 + C00006 + C00001 <=> C00141 + C00014 + C00005 + C00080,L-Valine + NADP+ + H2O <=> 3-Methyl-2-oxobutanoic acid + Ammonia + NADPH + H+,['1.4.1.8'],C00183;C00006;C00001,C00141;C00014;C00005;C00080,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R01213,"acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); 3-carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating); alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O",C02504 + C00010 <=> C00024 + C00141 + C00001,alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O,['2.3.3.13'],C02504;C00010,C00024;C00141;C00001,1.0;1.0,1.0;1.0;1.0
R01214,L-valine:2-oxoglutarate aminotransferase; L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoic acid + L-Glutamate,C00183 + C00026 <=> C00141 + C00025,L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoic acid + L-Glutamate,"['2.6.1.6', ' 2.6.1.42']",C00183;C00026,C00141;C00025,1.0;1.0,1.0;1.0
R01215,L-valine:pyruvate aminotransferase; L-Valine + Pyruvate <=> 3-Methyl-2-oxobutanoic acid + L-Alanine,C00183 + C00022 <=> C00141 + C00041,L-Valine + Pyruvate <=> 3-Methyl-2-oxobutanoic acid + L-Alanine,['2.6.1.66'],C00183;C00022,C00141;C00041,1.0;1.0,1.0;1.0
R01216,2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming); 2-Dehydropantoate <=> 3-Methyl-2-oxobutanoic acid + Formaldehyde,C00966 <=> C00141 + C00067,2-Dehydropantoate <=> 3-Methyl-2-oxobutanoic acid + Formaldehyde,"['2.1.2.11', '4.1.2.12']",C00966,C00141;C00067,1.0,1.0;1.0
R01217,"5-methyltetrahydrofolate:ferredoxin oxidoreductase; 5,10-Methylenetetrahydrofolate + 2 Reduced ferredoxin + 2 H+ <=> 5-Methyltetrahydrofolate + 2 Oxidized ferredoxin",C00143 + 2 C00138 + 2 C00080 <=> C00440 + 2 C00139,"5,10-Methylenetetrahydrofolate + 2 Reduced ferredoxin + 2 H+ <=> 5-Methyltetrahydrofolate + 2 Oxidized ferredoxin",['1.5.7.1'],C00143;C00138;C00080,C00440;C00139,1.0;2.0;2.0,1.0;2.0
R01218,"5,10-methylenetetrahydrofolate:NAD+ oxidoreductase; 5,10-Methylenetetrahydrofolate + NAD+ <=> 5,10-Methenyltetrahydrofolate + NADH",C00143 + C00003 <=> C00445 + C00004,"5,10-Methylenetetrahydrofolate + NAD+ <=> 5,10-Methenyltetrahydrofolate + NADH",['1.5.1.15'],C00143;C00003,C00445;C00004,1.0;1.0,1.0;1.0
R01220,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase; 5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",C00143 + C00006 <=> C00445 + C00005,"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",['1.5.1.5'],C00143;C00006,C00445;C00005,1.0;1.0,1.0;1.0
R01221,"glycine:NAD+ 2-oxidoreductase (tetrahydrofolate-methylene-adding); glycine cleavage system; Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+",C00037 + C00101 + C00003 <=> C00143 + C00014 + C00011 + C00004 + C00080,"Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+",['1.4.1.27'],C00037;C00101;C00003,C00143;C00014;C00011;C00004;C00080,1.0;1.0;1.0,1.0;1.0;1.0;1.0;1.0
R01224,"5-methyltetrahydrofolate:NADP+ oxidoreductase; 5-Methyltetrahydrofolate + NADP+ <=> 5,10-Methylenetetrahydrofolate + NADPH + H+",C00440 + C00006 <=> C00143 + C00005 + C00080,"5-Methyltetrahydrofolate + NADP+ <=> 5,10-Methylenetetrahydrofolate + NADPH + H+","['1.5.1.20', '1.5.1.53']",C00440;C00006,C00143;C00005;C00080,1.0;1.0,1.0;1.0;1.0
R01225,"5,10-methylenetetrahydrofolate:D-alanine 2-hydroxymethyltransferase; 5,10-Methylenetetrahydrofolate + D-Alanine + H2O <=> Tetrahydrofolate + 2-Methylserine",C00143 + C00133 + C00001 <=> C00101 + C02115,"5,10-Methylenetetrahydrofolate + D-Alanine + H2O <=> Tetrahydrofolate + 2-Methylserine",['2.1.2.7'],C00143;C00133;C00001,C00101;C02115,1.0;1.0;1.0,1.0;1.0
R01226,"5,10-methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase; 5,10-Methylenetetrahydrofolate + 3-Methyl-2-oxobutanoic acid + H2O <=> Tetrahydrofolate + 2-Dehydropantoate",C00143 + C00141 + C00001 <=> C00101 + C00966,"5,10-Methylenetetrahydrofolate + 3-Methyl-2-oxobutanoic acid + H2O <=> Tetrahydrofolate + 2-Dehydropantoate",['2.1.2.11'],C00143;C00141;C00001,C00101;C00966,1.0;1.0;1.0,1.0;1.0
R01227,guanosine 5'-monophosphate phosphohydrolase; GMP + H2O <=> Guanosine + Orthophosphate,C00144 + C00001 <=> C00387 + C00009,GMP + H2O <=> Guanosine + Orthophosphate,"['3.1.3.5', ' 3.1.3.-']",C00144;C00001,C00387;C00009,1.0;1.0,1.0;1.0
R01228,ATP:guanosine 5'-phosphotransferase; ATP + Guanosine <=> ADP + GMP,C00002 + C00387 <=> C00008 + C00144,ATP + Guanosine <=> ADP + GMP,['2.7.1.73'],C00002;C00387,C00008;C00144,1.0;1.0,1.0;1.0
R01229,GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase; GMP + Diphosphate <=> Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate,C00144 + C00013 <=> C00242 + C00119,GMP + Diphosphate <=> Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate,"['2.4.2.8', ' 2.4.2.22']",C00144;C00013,C00242;C00119,1.0;1.0,1.0;1.0
R01230,xanthosine-5'-phosphate:ammonia ligase (AMP-forming); ATP + Xanthosine 5'-phosphate + Ammonia <=> AMP + Diphosphate + GMP,C00002 + C00655 + C00014 <=> C00020 + C00013 + C00144,ATP + Xanthosine 5'-phosphate + Ammonia <=> AMP + Diphosphate + GMP,['6.3.5.2'],C00002;C00655;C00014,C00020;C00013;C00144,1.0;1.0;1.0,1.0;1.0;1.0
R01231,xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming); ATP + Xanthosine 5'-phosphate + L-Glutamine + H2O <=> AMP + Diphosphate + GMP + L-Glutamate,C00002 + C00655 + C00064 + C00001 <=> C00020 + C00013 + C00144 + C00025,ATP + Xanthosine 5'-phosphate + L-Glutamine + H2O <=> AMP + Diphosphate + GMP + L-Glutamate,['6.3.5.2'],C00002;C00655;C00064;C00001,C00020;C00013;C00144;C00025,1.0;1.0;1.0;1.0,1.0;1.0;1.0;1.0
R01232,"P1,P4-bis(5'-guanosyl)-tetraphosphate guanylylhydrolase; P1,P4-Bis(5'-guanosyl) tetraphosphate + H2O <=> GTP + GMP",C01261 + C00001 <=> C00044 + C00144,"P1,P4-Bis(5'-guanosyl) tetraphosphate + H2O <=> GTP + GMP",['3.6.1.17'],C01261;C00001,C00044;C00144,1.0;1.0,1.0;1.0
R01233,GDPglucose sugarphosphohydrolase; GDP-glucose + H2O <=> GMP + D-Glucose 1-phosphate,C00394 + C00001 <=> C00144 + C00103,GDP-glucose + H2O <=> GMP + D-Glucose 1-phosphate,['3.6.1.-'],C00394;C00001,C00144;C00103,1.0;1.0,1.0;1.0
R01234,"guanosine 3',5'-cyclic phosphate 5'-nucleotidohydrolase; 3',5'-Cyclic GMP + H2O <=> GMP",C00942 + C00001 <=> C00144,"3',5'-Cyclic GMP + H2O <=> GMP","['3.1.4.17', '3.1.4.35']",C00942;C00001,C00144,1.0;1.0,1.0
R01235,S-adenosyl-L-methionine:thiol S-methyltransferase; Thiol + S-Adenosyl-L-methionine <=> Methyl thioether + S-Adenosyl-L-homocysteine,C00145 + C00019 <=> C20791 + C00021,Thiol + S-Adenosyl-L-methionine <=> Methyl thioether + S-Adenosyl-L-homocysteine,['2.1.1.9'],C00145;C00019,C20791;C00021,1.0;1.0,1.0;1.0
R01236,"3'-phosphoadenylylsulfate:thiol S-sulfotransferase; 3'-Phosphoadenylyl sulfate + Thiol <=> Adenosine 3',5'-bisphosphate + S-Alkyl thiosulfate",C00053 + C00145 <=> C00054 + C02885,"3'-Phosphoadenylyl sulfate + Thiol <=> Adenosine 3',5'-bisphosphate + S-Alkyl thiosulfate",['2.8.2.16'],C00053;C00145,C00054;C02885,1.0;1.0,1.0;1.0
R01237,thioglucoside glucohydrolase; Thioglucoside + H2O <=> Thiol + Sugar,C02085 + C00001 <=> C00145 + C11477,Thioglucoside + H2O <=> Thiol + Sugar,['3.2.1.147'],C02085;C00001,C00145;C11477,1.0;1.0,1.0;1.0
R01238,4-hydroxybenzoate carboxy-lyase (phenol-forming); 4-Hydroxybenzoate <=> Phenol + CO2,C00156 <=> C00146 + C00011,4-Hydroxybenzoate <=> Phenol + CO2,['4.1.1.61'],C00156,C00146;C00011,1.0,1.0;1.0
R01239,S-adenosyl-L-methionine:phenol O-methyltransferase; S-Adenosyl-L-methionine + Phenol <=> S-Adenosyl-L-homocysteine + Anisole,C00019 + C00146 <=> C00021 + C01403,S-Adenosyl-L-methionine + Phenol <=> S-Adenosyl-L-homocysteine + Anisole,['2.1.1.25'],C00019;C00146,C00021;C01403,1.0;1.0,1.0;1.0
