reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R07479,"dehydrospermidine:[enzyme]-lysine N-4-aminobutylidenetransferase; Dehydrospermidine + [eIF5A-precursor]-lysine <=> N-(4-Aminobutylidene)-[eIF5A-precursor]-lysine + 1,3-Diaminopropane",C15853 + C07281 <=> C15854 + C00986,"Dehydrospermidine + [eIF5A-precursor]-lysine <=> N-(4-Aminobutylidene)-[eIF5A-precursor]-lysine + 1,3-Diaminopropane",['2.5.1.46'],C15853;C07281,C15854;C00986,1.0;1.0,1.0;1.0
R07480,N-(4-aminobutylidene)-[enzyme]-lysine:[eIF5A-precursor]-lysine N-4-aminobutylidenetransferase; N-(4-Aminobutylidene)-[eIF5A-precursor]-lysine + [eIF5A-precursor]-lysine <=> N-(4-Aminobutylidene)-[eIF5A-precursor]-lysine + [eIF5A-precursor]-lysine,C15854 + C07281 <=> C15854 + C07281,N-(4-Aminobutylidene)-[eIF5A-precursor]-lysine + [eIF5A-precursor]-lysine <=> N-(4-Aminobutylidene)-[eIF5A-precursor]-lysine + [eIF5A-precursor]-lysine,['2.5.1.46'],C15854;C07281,C15854;C07281,1.0;1.0,1.0;1.0
R07481,Cycloartenol + S-Adenosyl-L-methionine <=> 24-Methylidenecycloartanol + S-Adenosyl-L-homocysteine,C01902 + C00019 <=> C08830 + C00021,Cycloartenol + S-Adenosyl-L-methionine <=> 24-Methylidenecycloartanol + S-Adenosyl-L-homocysteine,['2.1.1.41'],C01902;C00019,C08830;C00021,1.0;1.0,1.0;1.0
R07483,"4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol + NADPH + H+ <=> 4alpha-Methylfecosterol + NADP+",C11508 + C00005 + C00080 <=> C15776 + C00006,"4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol + NADPH + H+ <=> 4alpha-Methylfecosterol + NADP+",['1.3.1.70'],C11508;C00005;C00080,C15776;C00006,1.0;1.0;1.0,1.0;1.0
R07484,4alpha-Methylfecosterol <=> 24-Methylenelophenol,C15776 <=> C11522,4alpha-Methylfecosterol <=> 24-Methylenelophenol,['5.3.3.5'],C15776,C11522,1.0,1.0
R07486,"delta7-avenasterol,ferrocytochrome b5:oxygen oxidoreductase 5,6-dehydrogenating; Delta7-Avenasterol + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> 5-Dehydroavenasterol + 2 Ferricytochrome b5 + 2 H2O",C15782 + 2 C00999 + C00007 + 2 C00080 <=> C15783 + 2 C00996 + 2 C00001,Delta7-Avenasterol + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> 5-Dehydroavenasterol + 2 Ferricytochrome b5 + 2 H2O,['1.14.19.20'],C15782;C00999;C00007;C00080,C15783;C00996;C00001,1.0;2.0;1.0;2.0,1.0;2.0;2.0
R07487,5-Dehydroavenasterol <=> Isofucosterol,C15783 <=> C08821,5-Dehydroavenasterol <=> Isofucosterol,['1.3.1.21'],C15783,C08821,1.0,1.0
R07488,Isofucosterol + NADPH + H+ <=> beta-Sitosterol + NADP+,C08821 + C00005 + C00080 <=> C01753 + C00006,Isofucosterol + NADPH + H+ <=> beta-Sitosterol + NADP+,['1.3.1.-'],C08821;C00005;C00080,C01753;C00006,1.0;1.0;1.0,1.0;1.0
R07489,"beta-sitosterol,NADPH:oxygen oxidoreductase (22,23-dehydrogenating); beta-Sitosterol + NADPH + H+ + Oxygen <=> Stigmasterol + NADP+ + 2 H2O",C01753 + C00005 + C00080 + C00007 <=> C05442 + C00006 + 2 C00001,beta-Sitosterol + NADPH + H+ + Oxygen <=> Stigmasterol + NADP+ + 2 H2O,['1.14.19.41'],C01753;C00005;C00080;C00007,C05442;C00006;C00001,1.0;1.0;1.0;1.0,1.0;1.0;2.0
R07491,"episterol,ferrocytochrome b5:oxygen oxidoreductase 5,6-dehydrogenating; Episterol + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> 5-Dehydroepisterol + 2 Ferricytochrome b5 + 2 H2O",C15777 + 2 C00999 + C00007 + 2 C00080 <=> C15780 + 2 C00996 + 2 C00001,Episterol + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> 5-Dehydroepisterol + 2 Ferricytochrome b5 + 2 H2O,['1.14.19.20'],C15777;C00999;C00007;C00080,C15780;C00996;C00001,1.0;2.0;1.0;2.0,1.0;2.0;2.0
R07492,5-Dehydroepisterol <=> 24-Methylenecholesterol,C15780 <=> C15781,5-Dehydroepisterol <=> 24-Methylenecholesterol,['1.3.1.21'],C15780,C15781,1.0,1.0
